trackNum,lifetime,max_intensity,background,totaldisp,max_msd,catIdx,aux,avg_rise,avg_dec,risevsdec,avg_mom_rise,avg_mom_dec,risevsdec_mom
1-185,10,664.1202821625918,1211.8309332125625,2.685490515082264,18.17919838425535,1,0,178.75046268735446,-187.3380710465909,0.9,483.06264535940545,-246.50594862420425,0.5
1-188,6,607.3870364858973,1430.4887634926006,2.3762790911184117,15.91178430074106,1,0,304.8078267704945,-197.58251413656163,0.875,471.4544884285645,-512.1837974100164,1.0
1-189,2,732.7100185984841,1360.9936349971777,1.2194368270204823,1.4870261750937814,1,0,300.9099640700888,-159.94353291274405,0.5714285714285714,318.08432690231234,-319.7552075935361,0.6666666666666666
1-192,13,955.3386287064768,1325.9197437113553,2.857199341160847,12.161448489856943,1,0,227.0884942603686,-290.4371783865375,1.2,513.0520712852709,-481.32625113273974,0.9090909090909091
1-193,80,3962.014898486231,1582.8269482838132,3.6327688911498104,2.9666916513835093,1,1,301.3906200403838,-329.9891380726158,1.069767441860465,458.86330850472734,-482.2068595247374,1.0465116279069768
1-195,5,988.8154237545102,1289.4162111353278,3.547776302722468,12.688989040057384,1,0,348.24396660696596,-386.0945442217908,1.3333333333333333,541.4079828585079,-836.2703750819225,1.6
1-196,3,3623.5309260834047,1785.810852033585,2.804349229353695,7.864374600176662,1,0,977.1001749171515,-761.2972913368051,0.7142857142857143,1529.3073766243963,-1846.1777024202322,1.2
1-197,272,4106.552231945108,1625.9978975762365,19.16996224806372,1.9950916802285514,1,1,273.09756316746035,-286.4735234830404,1.036231884057971,444.75569261431247,-471.5202753907661,1.0588235294117647
1-202,5,701.6262455514365,1403.2156318149628,0.42168025847810237,0.8941540877064135,1,0,274.78921558190837,-261.3959615506988,1.3333333333333333,408.7852171381232,-417.11384786555476,1.1666666666666667
1-203,48,1907.2473100191758,1552.7844132731725,1.1283842502869974,1.392477667144971,1,1,221.73096647244898,-256.85824145211177,1.1111111111111112,329.55366862574766,-468.11797667347946,1.3333333333333333
1-204,121,3900.525487628404,1549.9160782544357,1.5344041075150248,2.9200737606699225,1,1,309.40659729716094,-326.2168606802666,1.0634920634920635,480.33675127581176,-512.9666299442824,1.0806451612903225
1-208,5,2568.861914180563,1788.0810292969836,2.730696687013465,7.4567043964663124,1,0,579.7241599708009,-306.0577954383893,0.5555555555555556,859.2402985577561,-729.504474658578,0.8571428571428571
1-210,7,983.8429095323763,1341.6717263413327,1.808142165085296,6.900384169801809,1,0,380.0467881848326,-197.53152511806869,0.6,292.72509526151384,-561.0078205054937,1.5
1-211,2,873.4997080498965,1338.6936612658155,2.557453993245583,6.540570927567779,1,0,326.56438367533394,-296.48385077525,0.8333333333333334,524.0468161269679,-455.70053420253134,0.6666666666666666
1-212,2,718.5397310237732,1252.5083676604481,2.290615242665605,5.246918189932008,1,0,136.7146773112728,-232.09693473022386,1.75,245.15322239844366,-344.3240587805259,1.5
